StackExchange,Size,Number of XMLs
dba.stackexchange.com.7z,259.5M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
devops.meta.stackexchange.com.7z,390.9K,1,Badges.xml
devops.stackexchange.com.7z,11.3M,1,Badges.xml
diy.meta.stackexchange.com.7z,1.5M,1,Badges.xml
diy.stackexchange.com.7z,143.7M,6,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
drones.meta.stackexchange.com.7z,155.4K,1,Badges.xml
drones.stackexchange.com.7z,1.8M,1,Badges.xml
drupal.meta.stackexchange.com.7z,2.5M,1,Badges.xml
drupal.stackexchange.com.7z,145.7M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
dsp.meta.stackexchange.com.7z,805.2K,1,Badges.xml
dsp.stackexchange.com.7z,62.0M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
earthscience.meta.stackexchange.com.7z,1.0M,1,Badges.xml
earthscience.stackexchange.com.7z,17.1M,1,Badges.xml
ebooks.meta.stackexchange.com.7z,291.3K,1,Badges.xml
ebooks.stackexchange.com.7z,3.9M,1,Badges.xml
economics.meta.stackexchange.com.7z,1.2M,1,Badges.xml
economics.stackexchange.com.7z,30.4M,2,Badges.xml,Posts.xml
electronics.meta.stackexchange.com.7z,6.2M,1,Badges.xml
electronics.stackexchange.com.7z,449.6M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
elementaryos.meta.stackexchange.com.7z,260.0K,1,Badges.xml
elementaryos.stackexchange.com.7z,12.7M,1,Badges.xml
ell.meta.stackexchange.com.7z,5.1M,1,Badges.xml
ell.stackexchange.com.7z,167.1M,6,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
emacs.meta.stackexchange.com.7z,826.5K,1,Badges.xml
emacs.stackexchange.com.7z,42.7M,3,Badges.xml,PostHistory.xml,PostLinks.xml
engineering.meta.stackexchange.com.7z,1019.4K,1,Badges.xml
engineering.stackexchange.com.7z,29.1M,2,Badges.xml,Posts.xml
english.meta.stackexchange.com.7z,16.8M,1,Badges.xml
english.stackexchange.com.7z,356.2M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
eosio.meta.stackexchange.com.7z,76.5K,1,Badges.xml
eosio.stackexchange.com.7z,3.7M,1,Badges.xml
es.meta.stackoverflow.com.7z,8.0M,1,Badges.xml
es.stackoverflow.com.7z,411.7M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
esperanto.meta.stackexchange.com.7z,189.8K,1,Badges.xml
esperanto.stackexchange.com.7z,3.7M,1,Badges.xml
ethereum.meta.stackexchange.com.7z,893.1K,1,Badges.xml
ethereum.stackexchange.com.7z,65.1M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
expatriates.meta.stackexchange.com.7z,456.9K,1,Badges.xml
expatriates.stackexchange.com.7z,13.3M,1,Badges.xml
expressionengine.meta.stackexchange.com.7z,356.6K,1,Badges.xml
expressionengine.stackexchange.com.7z,17.9M,1,Badges.xml
fitness.meta.stackexchange.com.7z,876.4K,1,Badges.xml
fitness.stackexchange.com.7z,27.2M,2,Badges.xml,Posts.xml
freelancing.meta.stackexchange.com.7z,381.2K,1,Badges.xml
freelancing.stackexchange.com.7z,7.4M,1,Badges.xml
french.meta.stackexchange.com.7z,1.2M,1,Badges.xml
french.stackexchange.com.7z,35.6M,3,Badges.xml,PostHistory.xml,Posts.xml
gamedev.meta.stackexchange.com.7z,3.3M,1,Badges.xml
gamedev.stackexchange.com.7z,149.2M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
gaming.meta.stackexchange.com.7z,14.4M,1,Badges.xml
gaming.stackexchange.com.7z,196.4M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
gardening.meta.stackexchange.com.7z,949.4K,1,Badges.xml
gardening.stackexchange.com.7z,33.5M,3,Badges.xml,PostHistory.xml,Posts.xml
genealogy.meta.stackexchange.com.7z,1.9M,1,Badges.xml
genealogy.stackexchange.com.7z,13.4M,1,Badges.xml
german.meta.stackexchange.com.7z,2.2M,1,Badges.xml
